State,District,Date,final_risk_score,final_risk_category,Population,affected_population,total_health_facilities,total_schools,population_impact_score,priority_score,response_priority,priority_rank
TAMIL NADU,KALLAKURICHI,2026-08-20,2.33,LOW,2251744.0,52466,262,32,1.9920917761002144,2.19,LOW,3404
TAMIL NADU,NAMAKKAL,2026-09-10,2.54,LOW,1726601.0,43856,262,62,1.665177008589391,2.19,LOW,3404
TELANGANA,MAHABUBNAGAR,2026-08-19,2.57,LOW,1648902.0,42377,946,4,1.6090205694316086,2.19,LOW,3404
KERALA,KOTTYAM,2026-08-19,2.21,LOW,2579189.0,57000,269,212,2.164244105472348,2.19,LOW,3404
TELANGANA,JAGTIAL,2026-09-11,2.56,LOW,1648902.0,42212,680,4,1.6027556522841886,2.18,LOW,3405
UTTARAKHAND,DEHRADUN,2026-08-22,2.54,LOW,1696694.0,43096,102,42,1.6363204205164266,2.18,LOW,3405
ANDHRA PRADESH,SPSR NELLORE,2026-09-04,1.79,LOW,4053463.0,72557,640,40,2.754930869486968,2.18,LOW,3405
BIHAR,MADUBANI,2026-09-01,2.18,LOW,2645209.5,57666,232,2,2.1895315892310254,2.18,LOW,3405
CHHATTISGARH,SUKMA,2026-09-07,2.67,LOW,1413199.0,37732,262,2,1.4326536594330288,2.18,LOW,3405
KARNATAKA,CHIKBALLAPUR,2026-08-23,2.55,LOW,1681378.0,42875,227,21,1.627929228458367,2.18,LOW,3405
TELANGANA,MULUGU,2026-08-28,2.55,LOW,1648902.0,42047,680,4,1.596490735136769,2.17,LOW,3406
TELANGANA,JAGTIAL,2026-09-03,2.55,LOW,1648902.0,42047,680,4,1.596490735136769,2.17,LOW,3406
TELANGANA,MEDAK,2026-08-28,2.55,LOW,1648902.0,42047,638,4,1.596490735136769,2.17,LOW,3406
TRIPURA,SOUTH TRIPURA,2026-08-20,2.96,LOW,876001.0,25930,28,4,0.984541222015754,2.17,LOW,3406
MADHYA PRADESH,SEHORE,2026-08-19,2.71,LOW,1311332.0,35537,198,1,1.3493112767749271,2.17,LOW,3406
CHHATTISGARH,BALRAMPUR,2026-09-09,2.66,LOW,1413199.0,37591,262,2,1.4273000029615972,2.17,LOW,3406
TAMIL NADU,KALLAKURICHI,2026-08-30,2.3,LOW,2251744.0,51790,262,32,1.966424600393209,2.17,LOW,3406
CHHATTISGARH,BALOD,2026-09-01,2.66,LOW,1413199.0,37591,262,2,1.4273000029615972,2.17,LOW,3406
TAMIL NADU,ERODE,2026-09-10,2.3,LOW,2251744.0,51790,262,13,1.966424600393209,2.17,LOW,3406
MADHYA PRADESH,INDORE,2026-09-01,1.98,LOW,3276697.0,64879,156,228,2.4634033915603597,2.17,LOW,3406
MIZORAM,MAMIT,2026-09-04,3.54,LOW,86364.0,3057,262,2,0.1160718286040169,2.17,LOW,3406
UTTARAKHAND,CHAMPAWAT,2026-08-21,3.39,LOW,259648.0,8802,69,2,0.33420485291873,2.17,LOW,3406
TRIPURA,SOUTH TRIPURA,2026-08-27,2.96,LOW,876001.0,25930,28,4,0.984541222015754,2.17,LOW,3406
TELANGANA,PEDDAPALLE,2026-09-09,2.55,LOW,1648902.0,42047,680,4,1.596490735136769,2.17,LOW,3406
MAHARASHTRA,NASIK,2026-08-27,2.32,LOW,2204307.0,51140,716,12,1.9417446237518576,2.17,LOW,3406
TRIPURA,NORTH TRIPURA,2026-09-06,3.07,LOW,693947.0,21304,24,4,0.8088957267189982,2.17,LOW,3406
MEGHALAYA,EAST GARO HILLS,2026-08-31,3.34,LOW,317917.0,10618,262,2,0.4031569107351823,2.17,LOW,3406
TELANGANA,KARIMNAGAR,2026-08-21,2.54,LOW,1648902.0,41882,631,4,1.5902258179893487,2.16,LOW,3407
TELANGANA,NARAYANPET,2026-08-30,2.53,LOW,1648902.0,41717,680,4,1.583960900841929,2.15,LOW,3408
TRIPURA,DHALAI,2026-09-10,3.27,LOW,378230.0,12368,66,1,0.4696030016926667,2.15,LOW,3408
MIZORAM,MAMIT,2026-08-23,3.51,LOW,86364.0,3031,262,2,0.1150846295383629,2.15,LOW,3408
MEGHALAYA,WEST GARO HILLS,2026-09-10,3.08,LOW,643291.0,19813,262,1,0.7522836572232217,2.15,LOW,3408
UTTAR PRADESH,AURAIYA,2026-09-06,2.66,LOW,1379545.0,36696,262,4,1.393317573586198,2.15,LOW,3408
UTTAR PRADESH,AURAIYA,2026-09-05,2.66,LOW,1379545.0,36696,262,4,1.393317573586198,2.15,LOW,3408
UTTAR PRADESH,AURAIYA,2026-08-21,2.66,LOW,1379545.0,36696,262,4,1.393317573586198,2.15,LOW,3408
UTTAR PRADESH,AURAIYA,2026-09-10,2.66,LOW,1379545.0,36696,262,4,1.393317573586198,2.15,LOW,3408
UTTAR PRADESH,AURAIYA,2026-09-11,2.66,LOW,1379545.0,36696,262,4,1.393317573586198,2.15,LOW,3408
UTTAR PRADESH,AURAIYA,2026-08-30,2.66,LOW,1379545.0,36696,262,4,1.393317573586198,2.15,LOW,3408
UTTAR PRADESH,AURAIYA,2026-08-28,2.66,LOW,1379545.0,36696,262,4,1.393317573586198,2.15,LOW,3408
UTTAR PRADESH,AURAIYA,2026-08-31,2.66,LOW,1379545.0,36696,262,4,1.393317573586198,2.15,LOW,3408
MAHARASHTRA,DHULE,2026-08-23,2.36,LOW,2050862.0,48400,185,3,1.8377090299098533,2.15,LOW,3408
TAMIL NADU,NILGIRI,2026-09-11,2.28,LOW,2251744.0,51340,262,32,1.9493384627184271,2.15,LOW,3408
UTTAR PRADESH,AURAIYA,2026-08-19,2.66,LOW,1379545.0,36696,262,4,1.393317573586198,2.15,LOW,3408
TAMIL NADU,KANYAKUMARI,2026-08-28,2.28,LOW,2251744.0,51340,262,32,1.9493384627184271,2.15,LOW,3408
MADHYA PRADESH,SHAHDOL,2026-08-27,2.82,LOW,1066063.0,30063,288,2,1.1414679042599158,2.15,LOW,3408
MAHARASHTRA,LATUR,2026-08-22,2.2,LOW,2454196.0,53992,298,15,2.0500327674151406,2.14,LOW,3409
MAHARASHTRA,LATUR,2026-09-07,2.2,LOW,2454196.0,53992,298,15,2.0500327674151406,2.14,LOW,3409
TAMIL NADU,MAYILADUTHURAI,2026-08-27,2.27,LOW,2251744.0,51115,262,32,1.9407953938810365,2.14,LOW,3409
UTTAR PRADESH,LALITPUR,2026-09-09,2.72,LOW,1221592.0,33227,262,4,1.2616024367110477,2.14,LOW,3409
TAMIL NADU,VELLORE,2026-09-01,1.79,LOW,3936331.0,70460,262,61,2.675309467922485,2.14,LOW,3409
TAMIL NADU,VELLORE,2026-09-10,1.79,LOW,3936331.0,70460,262,61,2.675309467922485,2.14,LOW,3409
ARUNACHAL PRADESH,UPPER SIANG,2026-09-06,3.53,LOW,35320.0,1247,262,4,0.0473475859565617,2.14,LOW,3409
TAMIL NADU,VELLORE,2026-08-26,1.79,LOW,3936331.0,70460,262,61,2.675309467922485,2.14,LOW,3409
TAMIL NADU,VELLORE,2026-09-08,1.79,LOW,3936331.0,70460,262,61,2.675309467922485,2.14,LOW,3409
TAMIL NADU,VELLORE,2026-09-02,1.79,LOW,3936331.0,70460,262,61,2.675309467922485,2.14,LOW,3409
TAMIL NADU,VELLORE,2026-08-23,1.79,LOW,3936331.0,70460,262,61,2.675309467922485,2.14,LOW,3409
MAHARASHTRA,LATUR,2026-08-21,2.2,LOW,2454196.0,53992,298,15,2.0500327674151406,2.14,LOW,3409
TRIPURA,KHOWAI,2026-09-06,2.98,LOW,784974.0,23392,26,4,0.8881754055299853,2.14,LOW,3409
BIHAR,MADUBANI,2026-09-04,2.14,LOW,2645209.5,56607,232,2,2.149322211903039,2.14,LOW,3409
MAHARASHTRA,LATUR,2026-09-09,2.2,LOW,2454196.0,53992,298,15,2.0500327674151406,2.14,LOW,3409
TAMIL NADU,VELLORE,2026-08-31,1.79,LOW,3936331.0,70460,262,61,2.675309467922485,2.14,LOW,3409
MAHARASHTRA,LATUR,2026-08-31,2.2,LOW,2454196.0,53992,298,15,2.0500327674151406,2.14,LOW,3409
UTTAR PRADESH,LALITPUR,2026-09-10,2.72,LOW,1221592.0,33227,262,4,1.2616024367110477,2.14,LOW,3409
MAHARASHTRA,LATUR,2026-09-11,2.2,LOW,2454196.0,53992,298,15,2.0500327674151406,2.14,LOW,3409
MAHARASHTRA,LATUR,2026-09-10,2.2,LOW,2454196.0,53992,298,15,2.0500327674151406,2.14,LOW,3409
MAHARASHTRA,LATUR,2026-08-19,2.2,LOW,2454196.0,53992,298,15,2.0500327674151406,2.14,LOW,3409
UTTAR PRADESH,LALITPUR,2026-09-02,2.72,LOW,1221592.0,33227,262,4,1.2616024367110477,2.14,LOW,3409
UTTAR PRADESH,LALITPUR,2026-08-31,2.72,LOW,1221592.0,33227,262,4,1.2616024367110477,2.14,LOW,3409
UTTAR PRADESH,LALITPUR,2026-09-01,2.72,LOW,1221592.0,33227,262,4,1.2616024367110477,2.14,LOW,3409
MAHARASHTRA,LATUR,2026-09-04,2.2,LOW,2454196.0,53992,298,15,2.0500327674151406,2.14,LOW,3409
MAHARASHTRA,LATUR,2026-08-28,2.2,LOW,2454196.0,53992,298,15,2.0500327674151406,2.14,LOW,3409
UTTAR PRADESH,LALITPUR,2026-08-19,2.72,LOW,1221592.0,33227,262,4,1.2616024367110477,2.14,LOW,3409
UTTAR PRADESH,LALITPUR,2026-08-30,2.72,LOW,1221592.0,33227,262,4,1.2616024367110477,2.14,LOW,3409
MADHYA PRADESH,INDORE,2026-08-23,1.95,LOW,3276697.0,63896,156,228,2.426079673039669,2.14,LOW,3409
TAMIL NADU,VELLORE,2026-09-11,1.79,LOW,3936331.0,70460,262,61,2.675309467922485,2.14,LOW,3409
TELANGANA,J. BHUPALPALLY,2026-09-10,2.5,LOW,1648902.0,41223,680,4,1.5652041185945018,2.13,LOW,3410
ODISHA,KENDRAPARHA,2026-09-07,2.5,LOW,1648902.0,41223,262,4,1.5652041185945018,2.13,LOW,3410
UTTAR PRADESH,BADAUN,2026-08-26,2.15,LOW,2559297.0,55025,262,4,2.0892549456774727,2.13,LOW,3410
TAMIL NADU,RAMANATHAPURAM,2026-09-05,2.64,LOW,1353445.0,35731,262,4,1.3566773005724997,2.13,LOW,3410
ARUNACHAL PRADESH,TAWANG,2026-09-09,3.5,LOW,49977.0,1749,262,4,0.0664081217626515,2.13,LOW,3410
MADHYA PRADESH,KHANDWA,2026-09-06,2.63,LOW,1382506.0,36360,220,2,1.380559924122361,2.13,LOW,3410
TRIPURA,DHALAI,2026-08-26,3.24,LOW,378230.0,12255,66,1,0.4653124826765548,2.13,LOW,3410
MEGHALAYA,EAST KHASI HILLS,2026-09-07,2.94,LOW,825922.0,24282,262,23,0.9219679889312205,2.13,LOW,3410
MADHYA PRADESH,BURHANPUR,2026-08-25,2.98,LOW,757847.0,22584,121,2,0.8574962961050441,2.13,LOW,3410
TRIPURA,UNAKOTI,2026-08-27,2.96,LOW,784974.0,23235,26,4,0.8822142419412282,2.13,LOW,3410
GOA,NORTH GOA,2026-09-10,2.94,LOW,818008.0,24049,139,37,0.9131211665351666,2.13,LOW,3410
MEGHALAYA,WEST JAINTIA HILLS,2026-09-05,3.24,LOW,383461.0,12424,262,2,0.4717292766033062,2.13,LOW,3410
TAMIL NADU,RAMANATHAPURAM,2026-09-03,2.64,LOW,1353445.0,35731,262,4,1.3566773005724997,2.13,LOW,3410
CHHATTISGARH,JANJGIR_CHAMPA,2026-08-27,2.6,LOW,1413199.0,36743,262,2,1.395102125743342,2.12,LOW,3411
MAHARASHTRA,JALGAON,2026-09-06,1.71,LOW,4229917.0,72332,513,9,2.7463878006495768,2.12,LOW,3411
UTTAR PRADESH,CHITRAKOOT,2026-09-10,2.82,LOW,991730.0,27967,262,4,1.061884471890266,2.12,LOW,3411
UTTAR PRADESH,CHITRAKOOT,2026-08-23,2.82,LOW,991730.0,27967,262,4,1.061884471890266,2.12,LOW,3411
ASSAM,KARBI ANALOG,2026-09-07,2.81,LOW,1008183.0,28330,54,4,1.0756672896145898,2.12,LOW,3411
UTTAR PRADESH,CHITRAKOOT,2026-08-24,2.82,LOW,991730.0,27967,262,4,1.061884471890266,2.12,LOW,3411
UTTAR PRADESH,CHITRAKOOT,2026-08-22,2.82,LOW,991730.0,27967,262,4,1.061884471890266,2.12,LOW,3411
UTTAR PRADESH,CHITRAKOOT,2026-09-05,2.82,LOW,991730.0,27967,262,4,1.061884471890266,2.12,LOW,3411
MAHARASHTRA,JALGAON,2026-08-31,1.71,LOW,4229917.0,72332,513,9,2.7463878006495768,2.12,LOW,3411
MAHARASHTRA,JALGAON,2026-09-01,1.71,LOW,4229917.0,72332,513,9,2.7463878006495768,2.12,LOW,3411
MAHARASHTRA,JALGAON,2026-09-11,1.71,LOW,4229917.0,72332,513,9,2.7463878006495768,2.12,LOW,3411
MAHARASHTRA,JALGAON,2026-09-08,1.71,LOW,4229917.0,72332,513,9,2.7463878006495768,2.12,LOW,3411
MAHARASHTRA,JALGAON,2026-08-23,1.71,LOW,4229917.0,72332,513,9,2.7463878006495768,2.12,LOW,3411
MAHARASHTRA,JALGAON,2026-08-20,1.71,LOW,4229917.0,72332,513,9,2.7463878006495768,2.12,LOW,3411
MAHARASHTRA,JALGAON,2026-08-21,1.71,LOW,4229917.0,72332,513,9,2.7463878006495768,2.12,LOW,3411
ARUNACHAL PRADESH,EAST SIANG,2026-08-23,3.45,LOW,99214.0,3423,262,4,0.1299685539128394,2.12,LOW,3411
MAHARASHTRA,JALGAON,2026-08-28,1.71,LOW,4229917.0,72332,513,9,2.7463878006495768,2.12,LOW,3411
MAHARASHTRA,JALGAON,2026-08-30,1.71,LOW,4229917.0,72332,513,9,2.7463878006495768,2.12,LOW,3411
KARNATAKA,VIJAYANAGARA,2026-08-26,2.48,LOW,1681378.0,41698,300,21,1.583239486140105,2.12,LOW,3411
TELANGANA,B. KOTHAGUDEM,2026-09-10,2.49,LOW,1648902.0,41058,680,4,1.558939201447082,2.12,LOW,3411
MAHARASHTRA,JALGAON,2026-08-24,1.71,LOW,4229917.0,72332,513,9,2.7463878006495768,2.12,LOW,3411
ARUNACHAL PRADESH,CHANGLANG,2026-09-06,3.39,LOW,148226.0,5025,262,4,0.1907952040350622,2.11,LOW,3412
MEGHALAYA,WEST GARO HILLS,2026-08-26,3.02,LOW,643291.0,19427,262,1,0.7376275480177423,2.11,LOW,3412
MADHYA PRADESH,GUNA,2026-08-26,2.67,LOW,1241519.0,33149,193,2,1.2586408395140851,2.11,LOW,3412
TRIPURA,GOMATI,2026-08-20,2.93,LOW,784974.0,23000,26,4,0.8732914811555088,2.11,LOW,3412
CHHATTISGARH,KONDAGAON,2026-09-10,2.58,LOW,1413199.0,36461,262,2,1.3843948128004788,2.1,LOW,3413
RAJASTHAN,JHUNJHUNUN,2026-09-07,2.27,LOW,2137045.0,48511,386,15,1.8419236105363,2.1,LOW,3413
MADHYA PRADESH,SEONI,2026-09-11,2.6,LOW,1379131.0,35857,259,2,1.3614614191214385,2.1,LOW,3413
MADHYA PRADESH,SEONI,2026-09-08,2.6,LOW,1379131.0,35857,259,2,1.3614614191214385,2.1,LOW,3413
MAHARASHTRA,HINGOLI,2026-09-08,2.68,LOW,1177345.0,31553,150,12,1.1980420045608595,2.09,LOW,3414
MAHARASHTRA,HINGOLI,2026-09-06,2.68,LOW,1177345.0,31553,150,12,1.1980420045608595,2.09,LOW,3414
MAHARASHTRA,HINGOLI,2026-08-30,2.68,LOW,1177345.0,31553,150,12,1.1980420045608595,2.09,LOW,3414
MAHARASHTRA,HINGOLI,2026-09-04,2.68,LOW,1177345.0,31553,150,12,1.1980420045608595,2.09,LOW,3414
HARYANA,CHARKHI DADRI,2026-09-08,2.69,LOW,1166893.5,31389,100,4,1.1918150566082726,2.09,LOW,3414
MAHARASHTRA,HINGOLI,2026-08-31,2.68,LOW,1177345.0,31553,150,12,1.1980420045608595,2.09,LOW,3414
NCT OF DELHI,SOUTH EAST DELHI,2026-09-07,3.37,LOW,142004.0,4786,262,10,0.1817205664700115,2.09,LOW,3414
MAHARASHTRA,HINGOLI,2026-08-20,2.68,LOW,1177345.0,31553,150,12,1.1980420045608595,2.09,LOW,3414
NCT OF DELHI,SOUTH WEST DELHI,2026-09-04,3.37,LOW,142004.0,4786,262,10,0.1817205664700115,2.09,LOW,3414
JHARKHAND,PAKUR,2026-08-28,2.83,LOW,900422.0,25482,136,3,0.9675310227306382,2.09,LOW,3414
TAMIL NADU,KARUR,2026-08-19,2.74,LOW,1064493.0,29167,262,8,1.1074475056896838,2.09,LOW,3414
TAMIL NADU,TIRUVANNAMALAI,2026-08-28,2.14,LOW,2464875.0,52748,262,21,2.002799089043078,2.09,LOW,3414
TAMIL NADU,TIRUVANNAMALAI,2026-09-02,2.14,LOW,2464875.0,52748,262,21,2.002799089043078,2.09,LOW,3414
TAMIL NADU,TIRUVANNAMALAI,2026-08-30,2.14,LOW,2464875.0,52748,262,21,2.002799089043078,2.09,LOW,3414
TAMIL NADU,TIRUVANNAMALAI,2026-09-08,2.14,LOW,2464875.0,52748,262,21,2.002799089043078,2.09,LOW,3414
MAHARASHTRA,HINGOLI,2026-09-07,2.68,LOW,1177345.0,31553,150,12,1.1980420045608595,2.09,LOW,3414
MAHARASHTRA,HINGOLI,2026-09-01,2.68,LOW,1177345.0,31553,150,12,1.1980420045608595,2.09,LOW,3414
TAMIL NADU,TIRUVANNAMALAI,2026-09-01,2.14,LOW,2464875.0,52748,262,21,2.002799089043078,2.09,LOW,3414
TAMIL NADU,TIRUVANNAMALAI,2026-08-26,2.14,LOW,2464875.0,52748,262,21,2.002799089043078,2.09,LOW,3414
TAMIL NADU,TIRUVANNAMALAI,2026-09-09,2.14,LOW,2464875.0,52748,262,21,2.002799089043078,2.09,LOW,3414
TAMIL NADU,TIRUVANNAMALAI,2026-08-23,2.14,LOW,2464875.0,52748,262,21,2.002799089043078,2.09,LOW,3414
TAMIL NADU,TIRUVANNAMALAI,2026-08-31,2.14,LOW,2464875.0,52748,262,21,2.002799089043078,2.09,LOW,3414
MAHARASHTRA,HINGOLI,2026-09-05,2.68,LOW,1177345.0,31553,150,12,1.1980420045608595,2.09,LOW,3414
MAHARASHTRA,HINGOLI,2026-09-11,2.68,LOW,1177345.0,31553,150,12,1.1980420045608595,2.09,LOW,3414
MAHARASHTRA,HINGOLI,2026-08-29,2.68,LOW,1177345.0,31553,150,12,1.1980420045608595,2.09,LOW,3414
MADHYA PRADESH,NARMADAPURAM,2026-09-07,2.57,LOW,1382506.0,35530,220,2,1.349045492411097,2.08,LOW,3415
TELANGANA,MULUGU,2026-08-31,2.44,LOW,1648902.0,40233,680,4,1.527614615709982,2.08,LOW,3415
TELANGANA,KHAMMAM,2026-09-04,2.44,LOW,1648902.0,40233,648,4,1.527614615709982,2.08,LOW,3415
UTTAR PRADESH,SHRAWASTI,2026-09-03,2.7,LOW,1117361.0,30169,262,2,1.1454926389121978,2.08,LOW,3415
JAMMU AND KASHMIR,ANANTNAG,2026-09-09,2.72,LOW,1078692.0,29340,262,4,1.1140161763957666,2.08,LOW,3415
MADHYA PRADESH,ASHOKNAGAR,2026-08-19,2.84,LOW,845071.0,24000,134,5,0.9112606759883572,2.07,LOW,3416
ANDHRA PRADESH,VISHAKHAPATNAM,2026-08-22,1.7,LOW,4053463.0,68909,505,40,2.6164192467367378,2.07,LOW,3416
CHHATTISGARH,BALOD,2026-08-21,2.54,LOW,1413199.0,35895,262,2,1.3629042485250866,2.07,LOW,3416
MADHYA PRADESH,BURHANPUR,2026-08-24,2.9,LOW,757847.0,21978,121,2,0.834486964036338,2.07,LOW,3416
MADHYA PRADESH,CHHINDWARA,2026-08-26,2.25,LOW,2090922.0,47046,411,6,1.7862987401061772,2.06,LOW,3417
KARNATAKA,SHIMOGA,2026-09-06,2.38,LOW,1752753.0,41716,378,22,1.583922931647096,2.06,LOW,3417
TRIPURA,GOMATI,2026-08-21,2.87,LOW,784974.0,22529,26,4,0.8554079903892373,2.06,LOW,3417
BIHAR,JAHANABAD,2026-09-11,2.06,LOW,2645209.5,54491,232,2,2.068979395636732,2.06,LOW,3417
MADHYA PRADESH,DINDORI,2026-09-11,2.92,LOW,704524.0,20572,218,2,0.7811022761013534,2.06,LOW,3417
TELANGANA,NARAYANPET,2026-09-08,2.41,LOW,1648902.0,39739,680,4,1.508857833462555,2.05,LOW,3418
JHARKHAND,KODERMA,2026-08-20,2.56,LOW,1313551.0,33627,144,3,1.276790114644187,2.05,LOW,3418
MEGHALAYA,WEST JAINTIA HILLS,2026-09-07,3.12,LOW,383461.0,11964,262,2,0.454263446980196,2.05,LOW,3418
NAGALAND,MON,2026-09-11,3.21,LOW,250260.0,8033,262,2,0.3050065420922697,2.05,LOW,3418
MAHARASHTRA,DHULE,2026-08-26,2.25,LOW,2050862.0,46144,185,3,1.752050526366948,2.05,LOW,3418
ANDHRA PRADESH,PALNADU,2026-09-03,1.68,LOW,4053463.0,68098,640,40,2.5856262297272976,2.04,LOW,3419
UTTAR PRADESH,PILHIBHIT,2026-08-29,2.06,LOW,2559297.0,52722,262,4,2.001811889977424,2.04,LOW,3419
TELANGANA,WANAPARTHY,2026-08-30,2.4,LOW,1648902.0,39574,680,4,1.5025929163151353,2.04,LOW,3419
DAMAN & DIU,DAMAN,2026-08-19,2.4,LOW,1648902.0,39574,4,2,1.5025929163151353,2.04,LOW,3419
TELANGANA,WARANGAL,2026-09-02,2.4,LOW,1648902.0,39574,658,4,1.5025929163151353,2.04,LOW,3419
TELANGANA,SIDDIPET,2026-08-20,2.4,LOW,1648902.0,39574,680,4,1.5025929163151353,2.04,LOW,3419
MAHARASHTRA,SUBURBAN MUMBAI,2026-08-25,2.18,LOW,2204307.0,48054,348,12,1.824571688497688,2.04,LOW,3419
JAMMU AND KASHMIR,RAJOURI,2026-08-19,2.92,LOW,642415.0,18759,262,4,0.7122641258693997,2.04,LOW,3419
TAMIL NADU,NAMAKKAL,2026-08-23,2.37,LOW,1726601.0,40920,262,62,1.5536994525601489,2.04,LOW,3419
CHHATTISGARH,MOHALA-MANPUR-CHOWKI,2026-08-27,2.5,LOW,1413199.0,35330,262,2,1.341451653444527,2.04,LOW,3419
TRIPURA,UNAKOTI,2026-08-19,2.82,LOW,784974.0,22136,26,4,0.8404860968199281,2.03,LOW,3420
MADHYA PRADESH,DATIA,2026-08-25,2.82,LOW,786754.0,22186,108,1,0.8423845565615704,2.03,LOW,3420
ARUNACHAL PRADESH,KURUNG KUMEY,2026-09-09,3.31,LOW,92076.0,3048,262,4,0.1157301058505213,2.03,LOW,3420
MAHARASHTRA,SUBURBAN MUMBAI,2026-09-03,2.17,LOW,2204307.0,47833,348,12,1.8161804964396284,2.03,LOW,3420
ANDHRA PRADESH,SRIKAKULAM,2026-08-28,2.01,LOW,2703114.0,54333,632,39,2.062980262853142,2.03,LOW,3420
MADHYA PRADESH,BARWANI,2026-08-27,2.5,LOW,1385881.0,34647,350,2,1.315518693373692,2.03,LOW,3420
TRIPURA,UNAKOTI,2026-09-05,2.82,LOW,784974.0,22136,26,4,0.8404860968199281,2.03,LOW,3420
JAMMU AND KASHMIR,KULGAM,2026-09-04,3.05,LOW,424483.0,12947,262,4,0.4915871655008858,2.03,LOW,3420
TRIPURA,UNAKOTI,2026-08-25,2.82,LOW,784974.0,22136,26,4,0.8404860968199281,2.03,LOW,3420
ANDHRA PRADESH,SRIKAKULAM,2026-08-26,2.0,LOW,2703114.0,54062,632,39,2.0526906110534404,2.02,LOW,3421
KERALA,THIRUVANANTHPURAM,2026-08-21,2.04,LOW,2579189.0,52615,352,212,1.9977491861303087,2.02,LOW,3421
TELANGANA,MEDAK,2026-09-02,2.38,LOW,1648902.0,39244,638,4,1.4900630820202951,2.02,LOW,3421
TELANGANA,MEDAK,2026-09-09,2.38,LOW,1648902.0,39244,638,4,1.4900630820202951,2.02,LOW,3421
UTTARAKHAND,HARIDWAR,2026-09-07,3.07,LOW,391605.0,12022,16,2,0.4564656602805012,2.02,LOW,3421
TELANGANA,J. BHUPALPALLY,2026-09-06,2.38,LOW,1648902.0,39244,680,4,1.4900630820202951,2.02,LOW,3421
TELANGANA,MEDAK,2026-09-07,2.38,LOW,1648902.0,39244,638,4,1.4900630820202951,2.02,LOW,3421
TELANGANA,NIZAMABAD,2026-08-20,2.38,LOW,1648902.0,39244,702,4,1.4900630820202951,2.02,LOW,3421
TELANGANA,KHAMMAM,2026-09-11,2.38,LOW,1648902.0,39244,648,4,1.4900630820202951,2.02,LOW,3421
TELANGANA,MEDAK,2026-09-01,2.38,LOW,1648902.0,39244,638,4,1.4900630820202951,2.02,LOW,3421
TELANGANA,MULUGU,2026-09-11,2.37,LOW,1648902.0,39079,680,4,1.4837981648728753,2.02,LOW,3421
TELANGANA,MEDAK,2026-09-05,2.38,LOW,1648902.0,39244,638,4,1.4900630820202951,2.02,LOW,3421
HARYANA,HISAR,2026-08-20,2.34,LOW,1743931.0,40808,236,2,1.54944690273887,2.02,LOW,3421
TELANGANA,MEDAK,2026-09-06,2.38,LOW,1648902.0,39244,638,4,1.4900630820202951,2.02,LOW,3421
UTTAR PRADESH,KANPUR DEHAT,2026-09-08,2.32,LOW,1796184.0,41671,262,4,1.582214317879618,2.02,LOW,3421
UTTARAKHAND,PITHORAGARH,2026-09-10,2.98,LOW,483439.0,14406,108,10,0.5469842207620114,2.01,LOW,3422
TAMIL NADU,PERAMBALUR,2026-08-21,2.93,LOW,565223.0,16561,262,2,0.6288078356267992,2.01,LOW,3422
TELANGANA,NAGARKURNOOL,2026-08-26,2.36,LOW,1648902.0,38914,680,4,1.4775332477254557,2.01,LOW,3422
MAHARASHTRA,AMARAVATI,2026-09-08,2.15,LOW,2204307.0,47393,328,12,1.7994740507131757,2.01,LOW,3422
JHARKHAND,KODERMA,2026-08-26,2.52,LOW,1313551.0,33101,144,3,1.2568183181621086,2.01,LOW,3422
MAHARASHTRA,SUBURBAN MUMBAI,2026-09-04,2.15,LOW,2204307.0,47393,348,12,1.7994740507131757,2.01,LOW,3422
JHARKHAND,EAST SINGHBHUM,2026-08-26,2.51,LOW,1313551.0,32970,144,3,1.2518443536390056,2.01,LOW,3422
TAMIL NADU,PERAMBALUR,2026-08-26,2.93,LOW,565223.0,16561,262,2,0.6288078356267992,2.01,LOW,3422
MADHYA PRADESH,BHOPAL,2026-08-21,2.08,LOW,2371061.0,49318,75,35,1.8725647507664085,2.0,LOW,3423
TAMIL NADU,KALLAKURICHI,2026-08-25,2.12,LOW,2251744.0,47737,262,32,1.8125354537356757,2.0,LOW,3423
TAMIL NADU,TIRUVALLUR,2026-09-05,2.12,LOW,2251744.0,47737,262,32,1.8125354537356757,2.0,LOW,3423
MADHYA PRADESH,SEHORE,2026-08-29,2.5,LOW,1311332.0,32783,198,1,1.244744114205263,2.0,LOW,3423
MADHYA PRADESH,ALIRAJPUR,2026-08-24,2.82,LOW,728999.0,20558,185,2,0.7805707073736936,2.0,LOW,3423
JHARKHAND,WEST SINGHBHUM,2026-08-21,2.5,LOW,1313551.0,32839,144,3,1.2468703891159023,2.0,LOW,3423
TELANGANA,SANGAREDDY,2026-08-20,2.34,LOW,1648902.0,38584,680,4,1.4650034134306154,1.99,LOW,3424
TELANGANA,KHAMMAM,2026-09-09,2.34,LOW,1648902.0,38584,648,4,1.4650034134306154,1.99,LOW,3424
MAHARASHTRA,AMARAVATI,2026-08-24,2.13,LOW,2204307.0,46952,328,12,1.7827296357918891,1.99,LOW,3424
MADHYA PRADESH,SEHORE,2026-09-11,2.49,LOW,1311332.0,32652,198,1,1.2397701496821598,1.99,LOW,3424
TRIPURA,KHOWAI,2026-08-27,2.77,LOW,784974.0,21744,26,4,0.8256021724454516,1.99,LOW,3424
